skill_a,skill_b,path_a,path_b,score,status,actionable,scope_a,scope_b
academic-figure,document-writer,academic-research-tools\academic-figure,docs-writing-publishing\document-writer,0.033,clear,True,release,release
academic-figure,renhua,academic-research-tools\academic-figure,docs-writing-publishing\renhua,0.022,clear,True,release,release
academic-figure,touying,academic-research-tools\academic-figure,docs-writing-publishing\touying,0.01,clear,True,release,release
academic-figure,gh-bootstrap,academic-research-tools\academic-figure,git-github-collaboration\gh-bootstrap,0.013,clear,True,release,release
academic-figure,gh-pr-release,academic-research-tools\academic-figure,git-github-collaboration\gh-pr-release,0.017,clear,True,release,release
academic-figure,git-commit,academic-research-tools\academic-figure,git-github-collaboration\git-commit,0.031,clear,True,release,release
academic-figure,deep-research-pro,academic-research-tools\academic-figure,research-learning-knowledge\deep-research-pro,0.035,clear,True,release,release
academic-figure,humanizer-paper,academic-research-tools\academic-figure,research-learning-knowledge\humanizer-paper,0.052,clear,True,release,release
academic-figure,literature-mentor,academic-research-tools\academic-figure,research-learning-knowledge\literature-mentor,0.0,clear,True,release,release
academic-figure,paper-workbench,academic-research-tools\academic-figure,research-learning-knowledge\paper-workbench,0.068,clear,True,release,release
academic-figure,roundtable,academic-research-tools\academic-figure,research-learning-knowledge\roundtable,0.023,clear,True,release,release
agents-md-improver,archive-planning,developer-tools-integrations\agents-md-improver,developer-tools-integrations\archive-planning,0.075,clear,True,release,release
agents-md-improver,ast-grep,developer-tools-integrations\agents-md-improver,developer-tools-integrations\ast-grep,0.032,clear,True,release,release
agents-md-improver,claude-md-improver,developer-tools-integrations\agents-md-improver,developer-tools-integrations\claude-md-improver,0.488,collision,True,release,release
agents-md-improver,codex-workflow-recommender,developer-tools-integrations\agents-md-improver,developer-tools-integrations\codex-workflow-recommender,0.179,clear,True,release,release
agents-md-improver,goal-meta-skill,developer-tools-integrations\agents-md-improver,developer-tools-integrations\goal-meta-skill,0.091,clear,True,release,release
agents-md-improver,image-to-ui-skill,developer-tools-integrations\agents-md-improver,developer-tools-integrations\image-to-ui-skill,0.02,clear,True,release,release
agents-md-improver,ripgrep,developer-tools-integrations\agents-md-improver,developer-tools-integrations\ripgrep,0.043,clear,True,release,release
agents-md-improver,uv-workflow,developer-tools-integrations\agents-md-improver,developer-tools-integrations\uv-workflow,0.036,clear,True,release,release
agents-md-improver,windows-dev-process-cleanup,developer-tools-integrations\agents-md-improver,developer-tools-integrations\windows-dev-process-cleanup,0.047,clear,True,release,release
agents-md-improver,code-auditor,developer-tools-integrations\agents-md-improver,development-workflows\code-auditor,0.06,clear,True,release,release
agents-md-improver,code-quality-review,developer-tools-integrations\agents-md-improver,development-workflows\code-quality-review,0.074,clear,True,release,release
agents-md-improver,code-refactor,developer-tools-integrations\agents-md-improver,development-workflows\code-refactor,0.091,clear,True,release,release
agents-md-improver,codex-dynamic-workflows,developer-tools-integrations\agents-md-improver,development-workflows\codex-dynamic-workflows,0.081,clear,True,release,release
agents-md-improver,cold-shower,developer-tools-integrations\agents-md-improver,development-workflows\cold-shower,0.05,clear,True,release,release
agents-md-improver,geju,developer-tools-integrations\agents-md-improver,development-workflows\geju,0.068,clear,True,release,release
agents-md-improver,goudi,developer-tools-integrations\agents-md-improver,development-workflows\goudi,0.028,clear,True,release,release
agents-md-improver,handoff,developer-tools-integrations\agents-md-improver,development-workflows\handoff,0.028,clear,True,release,release
agents-md-improver,html-artifact,developer-tools-integrations\agents-md-improver,development-workflows\html-artifact,0.03,clear,True,release,release
agents-md-improver,implementation-notes,developer-tools-integrations\agents-md-improver,development-workflows\implementation-notes,0.027,clear,True,release,release
agents-md-improver,spark,developer-tools-integrations\agents-md-improver,development-workflows\spark,0.076,clear,True,release,release
agents-md-improver,unknowns-first,developer-tools-integrations\agents-md-improver,development-workflows\unknowns-first,0.043,clear,True,release,release
agents-md-improver,beautiful-mermaid-editor,developer-tools-integrations\agents-md-improver,docs-writing-publishing\beautiful-mermaid-editor,0.031,clear,True,release,release
agents-md-improver,bidwriter,developer-tools-integrations\agents-md-improver,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
agents-md-improver,document-writer,developer-tools-integrations\agents-md-improver,docs-writing-publishing\document-writer,0.063,clear,True,release,release
agents-md-improver,renhua,developer-tools-integrations\agents-md-improver,docs-writing-publishing\renhua,0.015,clear,True,release,release
agents-md-improver,touying,developer-tools-integrations\agents-md-improver,docs-writing-publishing\touying,0.014,clear,True,release,release
agents-md-improver,gh-bootstrap,developer-tools-integrations\agents-md-improver,git-github-collaboration\gh-bootstrap,0.04,clear,True,release,release
agents-md-improver,gh-pr-release,developer-tools-integrations\agents-md-improver,git-github-collaboration\gh-pr-release,0.022,clear,True,release,release
agents-md-improver,git-commit,developer-tools-integrations\agents-md-improver,git-github-collaboration\git-commit,0.042,clear,True,release,release
agents-md-improver,deep-research-pro,developer-tools-integrations\agents-md-improver,research-learning-knowledge\deep-research-pro,0.051,clear,True,release,release
agents-md-improver,humanizer-paper,developer-tools-integrations\agents-md-improver,research-learning-knowledge\humanizer-paper,0.027,clear,True,release,release
agents-md-improver,literature-mentor,developer-tools-integrations\agents-md-improver,research-learning-knowledge\literature-mentor,0.0,clear,True,release,release
agents-md-improver,paper-workbench,developer-tools-integrations\agents-md-improver,research-learning-knowledge\paper-workbench,0.046,clear,True,release,release
agents-md-improver,roundtable,developer-tools-integrations\agents-md-improver,research-learning-knowledge\roundtable,0.016,clear,True,release,release
archive-planning,ast-grep,developer-tools-integrations\archive-planning,developer-tools-integrations\ast-grep,0.017,clear,True,release,release
archive-planning,claude-md-improver,developer-tools-integrations\archive-planning,developer-tools-integrations\claude-md-improver,0.054,clear,True,release,release
archive-planning,codex-workflow-recommender,developer-tools-integrations\archive-planning,developer-tools-integrations\codex-workflow-recommender,0.089,clear,True,release,release
archive-planning,goal-meta-skill,developer-tools-integrations\archive-planning,developer-tools-integrations\goal-meta-skill,0.038,clear,True,release,release
archive-planning,image-to-ui-skill,developer-tools-integrations\archive-planning,developer-tools-integrations\image-to-ui-skill,0.023,clear,True,release,release
archive-planning,ripgrep,developer-tools-integrations\archive-planning,developer-tools-integrations\ripgrep,0.015,clear,True,release,release
archive-planning,uv-workflow,developer-tools-integrations\archive-planning,developer-tools-integrations\uv-workflow,0.04,clear,True,release,release
archive-planning,windows-dev-process-cleanup,developer-tools-integrations\archive-planning,developer-tools-integrations\windows-dev-process-cleanup,0.016,clear,True,release,release
archive-planning,code-auditor,developer-tools-integrations\archive-planning,development-workflows\code-auditor,0.037,clear,True,release,release
archive-planning,code-quality-review,developer-tools-integrations\archive-planning,development-workflows\code-quality-review,0.039,clear,True,release,release
archive-planning,code-refactor,developer-tools-integrations\archive-planning,development-workflows\code-refactor,0.047,clear,True,release,release
archive-planning,codex-dynamic-workflows,developer-tools-integrations\archive-planning,development-workflows\codex-dynamic-workflows,0.016,clear,True,release,release
archive-planning,cold-shower,developer-tools-integrations\archive-planning,development-workflows\cold-shower,0.0,clear,True,release,release
archive-planning,geju,developer-tools-integrations\archive-planning,development-workflows\geju,0.018,clear,True,release,release
archive-planning,goudi,developer-tools-integrations\archive-planning,development-workflows\goudi,0.03,clear,True,release,release
archive-planning,handoff,developer-tools-integrations\archive-planning,development-workflows\handoff,0.046,clear,True,release,release
archive-planning,html-artifact,developer-tools-integrations\archive-planning,development-workflows\html-artifact,0.033,clear,True,release,release
archive-planning,implementation-notes,developer-tools-integrations\archive-planning,development-workflows\implementation-notes,0.045,clear,True,release,release
archive-planning,spark,developer-tools-integrations\archive-planning,development-workflows\spark,0.1,clear,True,release,release
archive-planning,unknowns-first,developer-tools-integrations\archive-planning,development-workflows\unknowns-first,0.031,clear,True,release,release
archive-planning,beautiful-mermaid-editor,developer-tools-integrations\archive-planning,docs-writing-publishing\beautiful-mermaid-editor,0.017,clear,True,release,release
archive-planning,bidwriter,developer-tools-integrations\archive-planning,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
archive-planning,document-writer,developer-tools-integrations\archive-planning,docs-writing-publishing\document-writer,0.016,clear,True,release,release
archive-planning,renhua,developer-tools-integrations\archive-planning,docs-writing-publishing\renhua,0.016,clear,True,release,release
archive-planning,touying,developer-tools-integrations\archive-planning,docs-writing-publishing\touying,0.015,clear,True,release,release
archive-planning,gh-bootstrap,developer-tools-integrations\archive-planning,git-github-collaboration\gh-bootstrap,0.044,clear,True,release,release
archive-planning,gh-pr-release,developer-tools-integrations\archive-planning,git-github-collaboration\gh-pr-release,0.011,clear,True,release,release
archive-planning,git-commit,developer-tools-integrations\archive-planning,git-github-collaboration\git-commit,0.015,clear,True,release,release
archive-planning,deep-research-pro,developer-tools-integrations\archive-planning,research-learning-knowledge\deep-research-pro,0.036,clear,True,release,release
archive-planning,humanizer-paper,developer-tools-integrations\archive-planning,research-learning-knowledge\humanizer-paper,0.014,clear,True,release,release
archive-planning,literature-mentor,developer-tools-integrations\archive-planning,research-learning-knowledge\literature-mentor,0.0,clear,True,release,release
archive-planning,paper-workbench,developer-tools-integrations\archive-planning,research-learning-knowledge\paper-workbench,0.016,clear,True,release,release
archive-planning,roundtable,developer-tools-integrations\archive-planning,research-learning-knowledge\roundtable,0.018,clear,True,release,release
ast-grep,claude-md-improver,developer-tools-integrations\ast-grep,developer-tools-integrations\claude-md-improver,0.047,clear,True,release,release
ast-grep,codex-workflow-recommender,developer-tools-integrations\ast-grep,developer-tools-integrations\codex-workflow-recommender,0.015,clear,True,release,release
ast-grep,goal-meta-skill,developer-tools-integrations\ast-grep,developer-tools-integrations\goal-meta-skill,0.033,clear,True,release,release
ast-grep,image-to-ui-skill,developer-tools-integrations\ast-grep,developer-tools-integrations\image-to-ui-skill,0.019,clear,True,release,release
ast-grep,ripgrep,developer-tools-integrations\ast-grep,developer-tools-integrations\ripgrep,0.119,clear,True,release,release
ast-grep,uv-workflow,developer-tools-integrations\ast-grep,developer-tools-integrations\uv-workflow,0.053,clear,True,release,release
ast-grep,windows-dev-process-cleanup,developer-tools-integrations\ast-grep,developer-tools-integrations\windows-dev-process-cleanup,0.014,clear,True,release,release
ast-grep,code-auditor,developer-tools-integrations\ast-grep,development-workflows\code-auditor,0.022,clear,True,release,release
ast-grep,code-quality-review,developer-tools-integrations\ast-grep,development-workflows\code-quality-review,0.034,clear,True,release,release
ast-grep,code-refactor,developer-tools-integrations\ast-grep,development-workflows\code-refactor,0.042,clear,True,release,release
ast-grep,codex-dynamic-workflows,developer-tools-integrations\ast-grep,development-workflows\codex-dynamic-workflows,0.029,clear,True,release,release
ast-grep,cold-shower,developer-tools-integrations\ast-grep,development-workflows\cold-shower,0.015,clear,True,release,release
ast-grep,geju,developer-tools-integrations\ast-grep,development-workflows\geju,0.031,clear,True,release,release
ast-grep,goudi,developer-tools-integrations\ast-grep,development-workflows\goudi,0.041,clear,True,release,release
ast-grep,handoff,developer-tools-integrations\ast-grep,development-workflows\handoff,0.027,clear,True,release,release
ast-grep,html-artifact,developer-tools-integrations\ast-grep,development-workflows\html-artifact,0.014,clear,True,release,release
ast-grep,implementation-notes,developer-tools-integrations\ast-grep,development-workflows\implementation-notes,0.013,clear,True,release,release
ast-grep,spark,developer-tools-integrations\ast-grep,development-workflows\spark,0.028,clear,True,release,release
ast-grep,unknowns-first,developer-tools-integrations\ast-grep,development-workflows\unknowns-first,0.014,clear,True,release,release
ast-grep,beautiful-mermaid-editor,developer-tools-integrations\ast-grep,docs-writing-publishing\beautiful-mermaid-editor,0.015,clear,True,release,release
ast-grep,bidwriter,developer-tools-integrations\ast-grep,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
ast-grep,document-writer,developer-tools-integrations\ast-grep,docs-writing-publishing\document-writer,0.045,clear,True,release,release
ast-grep,renhua,developer-tools-integrations\ast-grep,docs-writing-publishing\renhua,0.014,clear,True,release,release
ast-grep,touying,developer-tools-integrations\ast-grep,docs-writing-publishing\touying,0.014,clear,True,release,release
ast-grep,gh-bootstrap,developer-tools-integrations\ast-grep,git-github-collaboration\gh-bootstrap,0.019,clear,True,release,release
ast-grep,gh-pr-release,developer-tools-integrations\ast-grep,git-github-collaboration\gh-pr-release,0.01,clear,True,release,release
ast-grep,git-commit,developer-tools-integrations\ast-grep,git-github-collaboration\git-commit,0.055,clear,True,release,release
ast-grep,deep-research-pro,developer-tools-integrations\ast-grep,research-learning-knowledge\deep-research-pro,0.016,clear,True,release,release
ast-grep,humanizer-paper,developer-tools-integrations\ast-grep,research-learning-knowledge\humanizer-paper,0.026,clear,True,release,release
ast-grep,literature-mentor,developer-tools-integrations\ast-grep,research-learning-knowledge\literature-mentor,0.0,clear,True,release,release
ast-grep,paper-workbench,developer-tools-integrations\ast-grep,research-learning-knowledge\paper-workbench,0.014,clear,True,release,release
ast-grep,roundtable,developer-tools-integrations\ast-grep,research-learning-knowledge\roundtable,0.015,clear,True,release,release
claude-md-improver,codex-workflow-recommender,developer-tools-integrations\claude-md-improver,developer-tools-integrations\codex-workflow-recommender,0.133,clear,True,release,release
claude-md-improver,goal-meta-skill,developer-tools-integrations\claude-md-improver,developer-tools-integrations\goal-meta-skill,0.051,clear,True,release,release
claude-md-improver,image-to-ui-skill,developer-tools-integrations\claude-md-improver,developer-tools-integrations\image-to-ui-skill,0.02,clear,True,release,release
claude-md-improver,ripgrep,developer-tools-integrations\claude-md-improver,developer-tools-integrations\ripgrep,0.042,clear,True,release,release
claude-md-improver,uv-workflow,developer-tools-integrations\claude-md-improver,developer-tools-integrations\uv-workflow,0.035,clear,True,release,release
claude-md-improver,windows-dev-process-cleanup,developer-tools-integrations\claude-md-improver,developer-tools-integrations\windows-dev-process-cleanup,0.03,clear,True,release,release
claude-md-improver,code-auditor,developer-tools-integrations\claude-md-improver,development-workflows\code-auditor,0.071,clear,True,release,release
claude-md-improver,code-quality-review,developer-tools-integrations\claude-md-improver,development-workflows\code-quality-review,0.091,clear,True,release,release
claude-md-improver,code-refactor,developer-tools-integrations\claude-md-improver,development-workflows\code-refactor,0.088,clear,True,release,release
claude-md-improver,codex-dynamic-workflows,developer-tools-integrations\claude-md-improver,development-workflows\codex-dynamic-workflows,0.095,clear,True,release,release
claude-md-improver,cold-shower,developer-tools-integrations\claude-md-improver,development-workflows\cold-shower,0.066,clear,True,release,release
claude-md-improver,geju,developer-tools-integrations\claude-md-improver,development-workflows\geju,0.083,clear,True,release,release
claude-md-improver,goudi,developer-tools-integrations\claude-md-improver,development-workflows\goudi,0.056,clear,True,release,release
claude-md-improver,handoff,developer-tools-integrations\claude-md-improver,development-workflows\handoff,0.042,clear,True,release,release
claude-md-improver,html-artifact,developer-tools-integrations\claude-md-improver,development-workflows\html-artifact,0.045,clear,True,release,release
claude-md-improver,implementation-notes,developer-tools-integrations\claude-md-improver,development-workflows\implementation-notes,0.041,clear,True,release,release
claude-md-improver,spark,developer-tools-integrations\claude-md-improver,development-workflows\spark,0.074,clear,True,release,release
claude-md-improver,unknowns-first,developer-tools-integrations\claude-md-improver,development-workflows\unknowns-first,0.057,clear,True,release,release
claude-md-improver,beautiful-mermaid-editor,developer-tools-integrations\claude-md-improver,docs-writing-publishing\beautiful-mermaid-editor,0.046,clear,True,release,release
claude-md-improver,bidwriter,developer-tools-integrations\claude-md-improver,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
claude-md-improver,document-writer,developer-tools-integrations\claude-md-improver,docs-writing-publishing\document-writer,0.078,clear,True,release,release
claude-md-improver,renhua,developer-tools-integrations\claude-md-improver,docs-writing-publishing\renhua,0.029,clear,True,release,release
claude-md-improver,touying,developer-tools-integrations\claude-md-improver,docs-writing-publishing\touying,0.028,clear,True,release,release
claude-md-improver,gh-bootstrap,developer-tools-integrations\claude-md-improver,git-github-collaboration\gh-bootstrap,0.038,clear,True,release,release
claude-md-improver,gh-pr-release,developer-tools-integrations\claude-md-improver,git-github-collaboration\gh-pr-release,0.021,clear,True,release,release
claude-md-improver,git-commit,developer-tools-integrations\claude-md-improver,git-github-collaboration\git-commit,0.056,clear,True,release,release
claude-md-improver,deep-research-pro,developer-tools-integrations\claude-md-improver,research-learning-knowledge\deep-research-pro,0.067,clear,True,release,release
claude-md-improver,humanizer-paper,developer-tools-integrations\claude-md-improver,research-learning-knowledge\humanizer-paper,0.041,clear,True,release,release
claude-md-improver,literature-mentor,developer-tools-integrations\claude-md-improver,research-learning-knowledge\literature-mentor,0.0,clear,True,release,release
claude-md-improver,paper-workbench,developer-tools-integrations\claude-md-improver,research-learning-knowledge\paper-workbench,0.045,clear,True,release,release
claude-md-improver,roundtable,developer-tools-integrations\claude-md-improver,research-learning-knowledge\roundtable,0.032,clear,True,release,release
codex-workflow-recommender,goal-meta-skill,developer-tools-integrations\codex-workflow-recommender,developer-tools-integrations\goal-meta-skill,0.032,clear,True,release,release
codex-workflow-recommender,image-to-ui-skill,developer-tools-integrations\codex-workflow-recommender,developer-tools-integrations\image-to-ui-skill,0.038,clear,True,release,release
codex-workflow-recommender,ripgrep,developer-tools-integrations\codex-workflow-recommender,developer-tools-integrations\ripgrep,0.027,clear,True,release,release
codex-workflow-recommender,uv-workflow,developer-tools-integrations\codex-workflow-recommender,developer-tools-integrations\uv-workflow,0.017,clear,True,release,release
codex-workflow-recommender,windows-dev-process-cleanup,developer-tools-integrations\codex-workflow-recommender,developer-tools-integrations\windows-dev-process-cleanup,0.044,clear,True,release,release
codex-workflow-recommender,code-auditor,developer-tools-integrations\codex-workflow-recommender,development-workflows\code-auditor,0.045,clear,True,release,release
codex-workflow-recommender,code-quality-review,developer-tools-integrations\codex-workflow-recommender,development-workflows\code-quality-review,0.051,clear,True,release,release
codex-workflow-recommender,code-refactor,developer-tools-integrations\codex-workflow-recommender,development-workflows\code-refactor,0.07,clear,True,release,release
codex-workflow-recommender,codex-dynamic-workflows,developer-tools-integrations\codex-workflow-recommender,development-workflows\codex-dynamic-workflows,0.092,clear,True,release,release
codex-workflow-recommender,cold-shower,developer-tools-integrations\codex-workflow-recommender,development-workflows\cold-shower,0.031,clear,True,release,release
codex-workflow-recommender,geju,developer-tools-integrations\codex-workflow-recommender,development-workflows\geju,0.047,clear,True,release,release
codex-workflow-recommender,goudi,developer-tools-integrations\codex-workflow-recommender,development-workflows\goudi,0.013,clear,True,release,release
codex-workflow-recommender,handoff,developer-tools-integrations\codex-workflow-recommender,development-workflows\handoff,0.027,clear,True,release,release
codex-workflow-recommender,html-artifact,developer-tools-integrations\codex-workflow-recommender,development-workflows\html-artifact,0.014,clear,True,release,release
codex-workflow-recommender,implementation-notes,developer-tools-integrations\codex-workflow-recommender,development-workflows\implementation-notes,0.039,clear,True,release,release
codex-workflow-recommender,spark,developer-tools-integrations\codex-workflow-recommender,development-workflows\spark,0.056,clear,True,release,release
codex-workflow-recommender,unknowns-first,developer-tools-integrations\codex-workflow-recommender,development-workflows\unknowns-first,0.041,clear,True,release,release
codex-workflow-recommender,beautiful-mermaid-editor,developer-tools-integrations\codex-workflow-recommender,docs-writing-publishing\beautiful-mermaid-editor,0.029,clear,True,release,release
codex-workflow-recommender,bidwriter,developer-tools-integrations\codex-workflow-recommender,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
codex-workflow-recommender,document-writer,developer-tools-integrations\codex-workflow-recommender,docs-writing-publishing\document-writer,0.044,clear,True,release,release
codex-workflow-recommender,renhua,developer-tools-integrations\codex-workflow-recommender,docs-writing-publishing\renhua,0.014,clear,True,release,release
codex-workflow-recommender,touying,developer-tools-integrations\codex-workflow-recommender,docs-writing-publishing\touying,0.027,clear,True,release,release
codex-workflow-recommender,gh-bootstrap,developer-tools-integrations\codex-workflow-recommender,git-github-collaboration\gh-bootstrap,0.098,clear,True,release,release
codex-workflow-recommender,gh-pr-release,developer-tools-integrations\codex-workflow-recommender,git-github-collaboration\gh-pr-release,0.042,clear,True,release,release
codex-workflow-recommender,git-commit,developer-tools-integrations\codex-workflow-recommender,git-github-collaboration\git-commit,0.054,clear,True,release,release
codex-workflow-recommender,deep-research-pro,developer-tools-integrations\codex-workflow-recommender,research-learning-knowledge\deep-research-pro,0.065,clear,True,release,release
codex-workflow-recommender,humanizer-paper,developer-tools-integrations\codex-workflow-recommender,research-learning-knowledge\humanizer-paper,0.026,clear,True,release,release
codex-workflow-recommender,literature-mentor,developer-tools-integrations\codex-workflow-recommender,research-learning-knowledge\literature-mentor,0.018,clear,True,release,release
codex-workflow-recommender,paper-workbench,developer-tools-integrations\codex-workflow-recommender,research-learning-knowledge\paper-workbench,0.059,clear,True,release,release
codex-workflow-recommender,roundtable,developer-tools-integrations\codex-workflow-recommender,research-learning-knowledge\roundtable,0.015,clear,True,release,release
goal-meta-skill,image-to-ui-skill,developer-tools-integrations\goal-meta-skill,developer-tools-integrations\image-to-ui-skill,0.021,clear,True,release,release
goal-meta-skill,ripgrep,developer-tools-integrations\goal-meta-skill,developer-tools-integrations\ripgrep,0.029,clear,True,release,release
goal-meta-skill,uv-workflow,developer-tools-integrations\goal-meta-skill,developer-tools-integrations\uv-workflow,0.038,clear,True,release,release
goal-meta-skill,windows-dev-process-cleanup,developer-tools-integrations\goal-meta-skill,developer-tools-integrations\windows-dev-process-cleanup,0.016,clear,True,release,release
goal-meta-skill,code-auditor,developer-tools-integrations\goal-meta-skill,development-workflows\code-auditor,0.024,clear,True,release,release
goal-meta-skill,code-quality-review,developer-tools-integrations\goal-meta-skill,development-workflows\code-quality-review,0.037,clear,True,release,release
goal-meta-skill,code-refactor,developer-tools-integrations\goal-meta-skill,development-workflows\code-refactor,0.029,clear,True,release,release
goal-meta-skill,codex-dynamic-workflows,developer-tools-integrations\goal-meta-skill,development-workflows\codex-dynamic-workflows,0.066,clear,True,release,release
goal-meta-skill,cold-shower,developer-tools-integrations\goal-meta-skill,development-workflows\cold-shower,0.017,clear,True,release,release
goal-meta-skill,geju,developer-tools-integrations\goal-meta-skill,development-workflows\geju,0.034,clear,True,release,release
goal-meta-skill,goudi,developer-tools-integrations\goal-meta-skill,development-workflows\goudi,0.044,clear,True,release,release
goal-meta-skill,handoff,developer-tools-integrations\goal-meta-skill,development-workflows\handoff,0.029,clear,True,release,release
goal-meta-skill,html-artifact,developer-tools-integrations\goal-meta-skill,development-workflows\html-artifact,0.048,clear,True,release,release
goal-meta-skill,implementation-notes,developer-tools-integrations\goal-meta-skill,development-workflows\implementation-notes,0.028,clear,True,release,release
goal-meta-skill,spark,developer-tools-integrations\goal-meta-skill,development-workflows\spark,0.062,clear,True,release,release
goal-meta-skill,unknowns-first,developer-tools-integrations\goal-meta-skill,development-workflows\unknowns-first,0.045,clear,True,release,release
goal-meta-skill,beautiful-mermaid-editor,developer-tools-integrations\goal-meta-skill,docs-writing-publishing\beautiful-mermaid-editor,0.016,clear,True,release,release
goal-meta-skill,bidwriter,developer-tools-integrations\goal-meta-skill,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
goal-meta-skill,document-writer,developer-tools-integrations\goal-meta-skill,docs-writing-publishing\document-writer,0.032,clear,True,release,release
goal-meta-skill,renhua,developer-tools-integrations\goal-meta-skill,docs-writing-publishing\renhua,0.015,clear,True,release,release
goal-meta-skill,touying,developer-tools-integrations\goal-meta-skill,docs-writing-publishing\touying,0.015,clear,True,release,release
goal-meta-skill,gh-bootstrap,developer-tools-integrations\goal-meta-skill,git-github-collaboration\gh-bootstrap,0.02,clear,True,release,release
goal-meta-skill,gh-pr-release,developer-tools-integrations\goal-meta-skill,git-github-collaboration\gh-pr-release,0.011,clear,True,release,release
goal-meta-skill,git-commit,developer-tools-integrations\goal-meta-skill,git-github-collaboration\git-commit,0.014,clear,True,release,release
goal-meta-skill,deep-research-pro,developer-tools-integrations\goal-meta-skill,research-learning-knowledge\deep-research-pro,0.017,clear,True,release,release
goal-meta-skill,humanizer-paper,developer-tools-integrations\goal-meta-skill,research-learning-knowledge\humanizer-paper,0.014,clear,True,release,release
goal-meta-skill,literature-mentor,developer-tools-integrations\goal-meta-skill,research-learning-knowledge\literature-mentor,0.0,clear,True,release,release
goal-meta-skill,paper-workbench,developer-tools-integrations\goal-meta-skill,research-learning-knowledge\paper-workbench,0.015,clear,True,release,release
goal-meta-skill,roundtable,developer-tools-integrations\goal-meta-skill,research-learning-knowledge\roundtable,0.017,clear,True,release,release
image-to-ui-skill,ripgrep,developer-tools-integrations\image-to-ui-skill,developer-tools-integrations\ripgrep,0.017,clear,True,release,release
image-to-ui-skill,uv-workflow,developer-tools-integrations\image-to-ui-skill,developer-tools-integrations\uv-workflow,0.023,clear,True,release,release
image-to-ui-skill,windows-dev-process-cleanup,developer-tools-integrations\image-to-ui-skill,developer-tools-integrations\windows-dev-process-cleanup,0.019,clear,True,release,release
image-to-ui-skill,code-auditor,developer-tools-integrations\image-to-ui-skill,development-workflows\code-auditor,0.013,clear,True,release,release
image-to-ui-skill,code-quality-review,developer-tools-integrations\image-to-ui-skill,development-workflows\code-quality-review,0.022,clear,True,release,release
image-to-ui-skill,code-refactor,developer-tools-integrations\image-to-ui-skill,development-workflows\code-refactor,0.017,clear,True,release,release
